Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
MTS,METCASH LIMITED,4.16,0.24096386,0.01,Neutral,2209142,9190030.72,4006997840,16.68006431,0.2498,8000,Distribution Services
AMP,AMP LIMITED,1.145,-1.7167382,-0.02,Buy,12919198,14792481.71,3802535984,,-0.0904,4100,Finance
TNE,TECHNOLOGY ONE LIMITED,11.41,-1.46804836,-0.17,Sell,597141,6813378.81,3743801465,48.22990421,0.2413,,Technology Services
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,2.18,-0.456621,-0.01,Buy,2903259,6329104.62,3731294402,12.5862069,0.1744,,Consumer Services
BPT,BEACH ENERGY LIMITED,1.64,0.3058104,0.005,Sell,10231865,16780258.6,3725117157,7.45214221,0.2197,,Energy Minerals
NHF,NIB HOLDINGS LIMITED,8,-0.99009901,-0.08,Buy,678114,5424912,3701374780,27.28807835,0.2961,,Finance
LTR,LIONTOWN RESOURCES LIMITED,1.62,-3.57142857,-0.06,Neutral,10066921,16308412.02,3690011455,77.77777778,0.0218,,Non-Energy Minerals
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,17.37,-0.34423408,-0.06,Sell,764810,13284749.7,3486592621,,-1.4367,10257,Consumer Services
ANN,ANSELL LIMITED,26.74,-0.03738318,-0.01,Buy,318263,8510352.62,3390334332,15.66342663,1.7266,14158,Producer Manufacturing
DOW,DOWNER EDI LIMITED,4.92,-1.20481928,-0.06,Strong Sell,1329248,6539900.16,3357398443,23.53497164,0.213,33000,Industrial Services
APE,EAGERS AUTOMOTIVE LIMITED,12.61,-2.70061728,-0.35,Sell,270970,3416931.7,3327879473,11.33957477,1.1429,,Retail Trade
PMV,PREMIER INVESTMENTS LIMITED,20.68,-0.19305019,-0.04,Strong Sell,284010,5873326.8,3294335405,13.38069035,1.5564,11000,Retail Trade
BLD,BORAL LIMITED.,2.82,-1.05263158,-0.03,Sell,1309357,3692386.74,3143801775,,-0.1568,9149,Non-Energy Minerals
BRG,BREVILLE GROUP LIMITED,21.9,0.68965517,0.15,Neutral,202185,4427851.5,3098499504,28.87295898,0.7591,,Consumer Durables
NWL,NETWEALTH GROUP LIMITED,12.78,1.26782884,0.16,Sell,309331,3953250.18,3076928742,55.39947322,0.2278,,Finance
BKW,BRICKWORKS LIMITED,20.12,-0.1984127,-0.04,Sell,141331,2843579.72,3048176535,4.09290239,4.9582,2225,Non-Energy Minerals
APM,APM HUMAN SERVICES INTERNATIONAL LIMITED,3.19,-2.74390244,-0.09,Sell,3795885,12108873.15,3008356756,73.21428571,0.0448,10300,Commercial Services
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,3.72,-1.58730159,-0.06,Strong Sell,3182537,11839037.64,2960648525,15.69767442,0.2421,,Producer Manufacturing
SGM,SIMS LIMITED,14.62,-2.92164675,-0.44,Strong Sell,411473,6015735.26,2908938491,5.09523971,3.031,4071,Non-Energy Minerals
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,19.15,0.10454783,0.02,Sell,275379,5273507.85,2799211372,1074.71904494,0.0178,,Commercial Services
ORA,ORORA LIMITED,3.31,0,0,Sell,1597396,5287380.76,2750318024,15.39534884,0.217,4800,Process Industries
CRN,CORONADO GLOBAL RESOURCES INC.,1.61,0.31152648,0.005,Sell,2571518,4140143.98,2741000000,2.29548055,0.6996,1577,Energy Minerals
ZIM,ZIMPLATS HOLDINGS LIMITED,25.01,-0.98970705,-0.25,Sell,7885,197203.85,2718927052,4.25876283,5.9313,,Non-Energy Minerals
